Team,Arena,Lat,Long
Dallas Stars,American Airlines Center,32.79045391,-96.8102547
Colorado Avalanche,Ball Arena,39.74873436,-105.0075559
Winnipeg Jets,Canada Life Centre,49.89268743,-97.14348616
St. Louis Blues,Enterprise Center,38.62691561,-90.20265685
Arizona Coyotes,Mullett Arena,33.58130656,-111.8628025
Minnesota Wild,Xcel Energy Center,44.9992194,-93.10111817
Chicago Blackhawks,United Center,41.88081858,-87.6741008
Nashville Predators,Bridgestone Arena,36.15924287,-86.77841007
Vegas Golden Knights,T-Mobile Arena,36.10291599,-115.1781628
Los Angeles Kings,Crypto.com Arena,34.04304414,-118.2671683
Vancouver Canucks,Rogers Arena,49.27788477,-123.1088227
Anaheim Ducks,Honda Center,34.09575667,-117.9683216
Seattle Kraken,Climate Pledge Arena,47.62205681,-122.3539748
Calgary Flames,Scotiabank Saddledome,51.03754151,-114.0519663
Edmonton Oilers,Rogers Place,53.54705834,-113.4975429
San Jose Sharks,SAP Center,37.33312233,-121.9019362
Boston Bruins,TD Garden,42.36625346,-71.06200653
Detroit Redwings,Little Caesars Arena,42.34122152,-83.05524585
Tampa Bay Lightning,Amalie Arena,27.94285101,-82.451702
Florida Panthers,Amerant Bank Arena,26.15861134,-80.32526291
Toronto Maple Leafs,Scotiabank Arena,43.64358253,-79.3790238
Montreal Canadiens,Bell Centre,45.49615692,-73.56929384
Buffalo Sabres,KeyBank Center,42.87512825,-78.8765439
Ottawa Senators,Canadian Tire Centre,45.33065203,-75.91173736
New York Rangers,Madison Square Garden,40.7506589,-73.99341725
Carolina Hurricanes,PNC Arena,35.90152462,-78.71464975
New Jersey Devils,Prudential Center,40.75538632,-74.12712069
New York Islanders,UBS Arena,40.71191206,-73.72591106
Washington Capitals,Capital One Arena,38.89830942,-77.0208568
Pittsburgh Penguins,PPG Paints Arena,40.43943216,-79.98944561
Philadelphia Flyers,Wells Fargo Center,39.90134962,-75.17193659
Columbus Blue Jackets ,Nationwide Arena,39.96921539,-83.0058981
