OBJECTID,Site Name,Address,NPL Status,Site type category,Site type subcategory,Enforcement agreement type,Agreement approval date,Money paid to EPA to do additional cleanup work,Reimbursable Past Costs to EPA,Est. Value of Cleanup Work,Work Party(ies),Type of cleanup work,Link to site profile page,x,y
1,Winthrop Landfill,"Annabessacook Rd, Winthrop, ME, 04364",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,3/24/1986,,598500,8000000,"Everett Savage<br>Glenda H. Savage<br>Inmont Corporation<br>Town of Winthrop, Maine","PRP Removal, PRP Remedial Design, PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101012,-7791065.368391079,5508227.362237987
2,Beacon Heights Landfill,"Blackberry Hill Road, Beacon Falls, CT, 06403",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,9/15/1987,,,1300000,"American Cyanamid Company<br>Atlantic Richfield Company<br>B.F. Goodrich Co.<br>Borden Chemical Co.<br>Celanese Corp.<br>Chase Brass & Copper<br>Chesebrough-Ponds, Inc.<br>Con Dec Corp. (Consolidated Diesel)<br>Dow Corning Corporation<br>E. I. du Pont de Nemours and Company<br>Elco Industries, Inc.<br>Engineered Sinterings & Plastics, Inc.<br>Environ. Waste Resources, Inc.<br>General Electric Company<br>Guilford Gravure, Inc.<br>Hemingway & Bartlett<br>Humphrey Chemical Company, The<br>Keeler & Long, Inc.<br>Kraft, Inc.<br>Lewis Electronic Instrumentation Operation, Coltec<br>Monsanto Company<br>Pfizer, Inc.<br>Plastiglide Corporation<br>Reynolds Metals Company<br>Risdon Corp.<br>Robertshaw Controls Co.<br>Textron Inc.<br>Treadwell Corp.<br>Union Carbide Corporation<br>Uniroyal, Inc.<br>Upjohn Co.<br>Waterbury Companies, Inc.<br>White Consolidated Industries, Inc.","PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100180,-8130250.290863642,5076264.485686594
3,McKin Co.,"Mayall Rd, Gray, ME, 04039",Deleted,Multiple,Multiple,Consent Decree,11/21/1988,,2500000,5600000,"A. H. Benoit &Co.<br>Acme Staple<br>American Can Company<br>American Cyanamid Co.<br>Amoco Oil Company<br>Asa Adams Sch<br>Associated Hospital Services<br>Auburn School Dept.<br>Augusta General Hospital<br>Augusta School Dept.<br>B.E. Cole Shoe Co.<br>Ballard Oil<br>Bancroft & Martin<br>Bangor, City of<br>Barrows Greenhouse<br>Bath Fuel<br>Bath Iron Works Corp.<br>Bath Memorial Hospital<br>Bath School Dept.<br>Beede Electrical Inst<br>Berlin School Dept.<br>Biddeford-Sacco Water Co.<br>Bingham School Dept.<br>Bliss-Portland<br>Bowdoin Apts.<br>BP Oil, Inc.<br>Brewer School Department<br>Briggs & Munsat<br>Brochway, Smith, Haigh, Lovell<br>Bud's Supermarket<br>Butler Twins' Greenhouse<br>Callahan Bros.<br>Camden Yarns, Inc.<br>Canadian National Railroad<br>Canal Bank<br>Casco Northern<br>Central Maine Power Co.<br>Central Maine Youth Center<br>Church of Immsc. Conception<br>Cities Service Oil<br>Claremont School Dept.<br>Consolidated Construction<br>Cumberland Club<br>Currie & Casino Motor Co.<br>Davidson Rubber<br>Diso Grin Industries<br>Dixon Bros.<br>Dover (City and School Dept.)<br>Eastern Fine Paper<br>Elizabeth Ann Seton Hospital<br>Emery Waterhouse<br>Emple Knitting Mills<br>Encore Shoe Co.<br>Enterprise Mattress<br>F.N. Boston Coal<br>F.W. Cunningham & Sons<br>Fairchild Semiconductor<br>Fairview Hosp.<br>Falmouth Porsch-Audi<br>Falmouth School Dept.<br>Farmington, ME<br>Farmington, NH School Dept.<br>Farnsworth Museum<br>Farrar-Brown<br>Fels Comp.<br>First National Stores<br>FMC Corporation<br>Foster-Russel Oil Co.<br>Fred I. Merrill, Inc.<br>G.W. Jewett & Sons<br>Gardiner Schol Dept.<br>General Electric<br>Georgia Pacific Corp.<br>Globe-Albany<br>Gorham Scool Dept. NH<br>Grant's Diary<br>Gtr. Portland Trans. Dist.<br>Guilford School Dept.<br>Gulf-Chevron<br>Guy Gannet Publishing<br>H.P. Hood & Sons<br>Hallowell Shoe<br>Harbor Supply Oil Co.<br>Hinkley Boat Yard<br>Hubbs Engine Co.<br>Immac. Heart of Mary Parish<br>J.W. Praught Co.<br>Jordan's Meat Market<br>Jordon Marsh<br>Joy Mfg. Co.<br>Kagan-Lown Shoe Factory<br>Kennebec Nurseries<br>Kidder Press Co.<br>L.W. Packard Co.<br>Ladd Paper<br>Lake Region H.S.<br>Langford & Lowe, Inc.<br>Lee Greenhouse<br>Liberty Mutual<br>Liberty Oil<br>Livermore Shoe Co.<br>LL Bean<br>Loring, Shore, and Harman<br>M.L. Coffin<br>Maine Fisheries<br>Maine Medical Center<br>Maine National Bank<br>Maine Rubber International<br>Manchester School Dept.<br>Manchester, City of<br>Maritme Energy/Maritme Oil<br>Mathews Brothers, Inc.<br>Midcentral Fish/Penobscot Poul<br>Millinocket Hospital<br>Milton N.H. School Dept.<br>Monodnock Community Hospital<br>Moore Business Forms<br>Mount Merici Academy<br>N.H. Voc. Tech. Inst.<br>New Hampshire Ball Bearing<br>Nissen's Bakery<br>Norstar Bank<br>Norton Co.<br>Oakite<br>Oblate Fathers<br>Osteopathic Hosp.<br>Osteopathic Hosp. of Me<br>Page Belting Co.<br>Philips Elmet<br>Pinkerton Academmy<br>Pittsfield Scholl/Vickery School<br>Porland Boys Club<br>Portland School Dept. Baxter School<br>Portland School Dept. Portland School<br>Portland, City of<br>Portsmouth Apts<br>Randall & Mcallister<br>Roaks Green House<br>Rockingham Park<br>Rockland School<br>Rumford Community Hospital<br>Rumford H.S.<br>S.A.D.  #6 Bonneyeagle<br>S.A.D. #15 Gray, ME<br>Sacred Heart Church/Schools<br>Salem School District, N.H.<br>Sanford School Dept.<br>Schlotterbeck & Foss<br>Sebago Moccasin<br>Sebago, Inc.<br>Seltzer & Rydholm<br>Shapiro Oil Co.<br>Shaws Supermarkets<br>Shell Oil Company<br>South Portland Engine Co.<br>South Portland, City of<br>Spaulding Fiber Co.<br>Split Ball Bearing Co.<br>St. Andrews Hospital<br>St. Hyacinth Parish, Westbrook<br>St. John School/Parish, Bangor<br>St. John The Baptist Church/Par<br>St. Joseph's Hospital, Bangor<br>St. Mary's Parish/ School, Bidde<br>State Street Cong. Church<br>Stateway Apartments<br>Statler Tissue<br>Stone & Webster Engineering Co.<br>Striar Textile<br>Thayer Hospital, Waterville<br>The Blake Co.<br>Thomaston Cement<br>Thomaston School<br>Union Mutual Life Ins.<br>Union, Town and School Deot.<br>United States Fed. Aviation Admin.<br>United Tanners, Inc.<br>Village Green Arcade<br>Village Green Arcade James Demetriou<br>Village Green Arcade O. William Robertson<br>Village Green Arcade William L. Luce<br>W. H. Nichols<br>W.A. Gosselin Co., Inc.<br>Waterville Boys & Girls Club<br>Waynflete School<br>Webber Oil<br>Webber Supply Co.<br>Webster Valve Co.<br>Well-Ogunquit School Dept.<br>Westbrook Housing Authority<br>Westbrook Junior College<br>Westbrook, City of<br>Westpoint-Pepperell<br>Weymouth's, Inc.<br>White Mountain Fuel Co.<br>White Star Laundry<br>Wilner Wedges/ Wilner Wood Prod.<br>Windham, N.H. School Dept.<br>Winters Oil Co.<br>Wiscasset School Dept.<br>Woolworth, F.W., Co.<br>Wright, A.R.<br>York Hospital<br>Yudy's Tire Co.","PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101027,-7825114.549720523,5447523.87457686
4,Industri-Plex,"Commerce & Atlantic, Woburn, MA, 01801",Final,Manufacturing/Processing/Maintenance,Chemicals and allied products,Consent Decree,4/24/1989,,3007487,28000000,"Adeline Dagata<br>Aero Realty Trust<br>Atlantic Avenue Associates, Inc.<br>Atlantic Avenue Trust<br>Augustine P. Sheehy<br>Boston Edison Co.<br>City of Woburn<br>Ganglani, Hiro K.<br>Ganglani, Sunder K.<br>ICI American Holdings<br>Lipton Industries, Inc.<br>Liss, Ronald F.<br>Mark Phillips Trust<br>Massachusetts Bay Transportation Authority <br>Monsanto Co.<br>Nodraer Realty Trust<br>P.X. Realty Trust<br>Pebco Company/Boston Safe Deposit & Trust Co.<br>Peter J. Volpe<br>Positive Start Realty, Inc.<br>Stauffer Chemical Company<br>Stauffer Management Company<br>Stephen Dagata<br>The Boyd Corporation<br>The Welles Company<br>Winter Hill Storehouse, Inc.<br>Woodcraft Supply Corporation","PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100580,-7919454.367263614,5238690.926259556
5,"Re-Solve, Inc.","N Hixville Rd, Dartmouth, MA, 02747",Final,Recycling,"Chemicals/chemical waste (e.g., solvent recovery)",Consent Decree,5/31/1989,,5520369,19911000,"Aerovox, Inc.<br>Anson, Inc.<br>Arkwright, Inc.<br>Augat, Inc.<br>AVX, Inc.<br>Western Electric Company, Inc.","PRP Remedial Design, PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100682,-7907456.352545916,5114366.423014317
6,Old Springfield Landfill,"Will Dean Rd, Springfield, VT, 05156",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,5/1/1990,,1750000,5432000,"Browning-Ferris Industries of Vermont, Inc.<br>Emhart Industries, Inc.<br>Textron Inc.<br>Town of Springfield, Vermont","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101437,-8066952.6925647,5353584.494997918
7,Rose Disposal Pit,"Balance Rock Rd, Lanesboro, MA, 01237",Final,Waste Management,Industrial waste facility (non-generator),Consent Decree,3/5/1991,,494016,6456000,General Electric Company<br>General Electric-Plastics Technology Division,"PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100721,-8156913.423978958,5237004.250420914
8,Stamina Mills,"School Street, North Smithfield (Forestdale), RI, 02824",Final,Manufacturing/Processing/Maintenance,Fabrics/textiles,Unilateral Administrative Order,5/6/1991,,,5000000,Kayser-Roth Corp.<br>Kayser-Roth Corp.,"PRP Remedial Design, PRP Remedial Action, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101291,-7966545.962773381,5160440.196762078
9,Coakley Landfill,"480 Breakfast Hill Rd, North Hampton, NH, 03840",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,5/5/1992,,500000,21200000,"Browning-Ferris Industries, Inc.<br>Booth Fisheries Corporation<br>City of Portsmouth<br>Custom Pools, Inc.<br>Eric Scientific Company<br>GTE Products Corporation<br>Gary W. Blake, Inc.<br>George Frisbee<br>Jet-Line Services, Inc.<br>K Mart Corporation<br>K.J. Quinn & Co., Inc.<br>Mobil Oil Corporation<br>Montgomery Ward & Co., Incorporated<br>New England Telephone and Telegraph Company<br>Newington Midas Muffler<br>Northern Utilities, Inc.<br>Pike Associates Inc.<br>Post Machinery Company, Inc.<br>Public Service Company of New Hampshire<br>R.M. Philbrick Trucking Co., Inc.<br>S&H Precision Mfg. Co., Inc.<br>Sanel Auto Parts, Inc.<br>Seacoast Volkswagen, Inc.<br>Simplex Wire & Cable Company<br>Town of Newington, New Hampshire<br>United Technologies Corporation<br>Waste Management of Maine, Inc.<br>Waste Management of New Hampshire, Inc.","PRP Remedial Design, PRP Remedial Action, Operations & Maintenance",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101107,-7883336.758475735,5312140.954002945
10,Old Springfield Landfill,"Will Dean Rd, Springfield, VT, 05156",Final,Waste Management,Co-disposal landfill (municipal and industrial),Consent Decree,6/10/1992,,750000,8700000,"Browning-Ferris Industries, Inc.<br>Emhart Industries Inc.<br>Textron Inc.<br>Town of Springfield","PRP Remedial Design, PRP Remedial Action, PRP Long Term Response Action",https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101437,-8066952.6925647,5353584.494997918
