Area Name,Employment,Annual median wage,"Employment per 1,000 jobs",Location Quotient
Alaska nonmetropolitan area(0200006),          70,       55900,       0.691,        3.81
"Albany-Schenectady-Troy, NY(0010580)",          60,       38420,       0.131,        0.72
"Albuquerque, NM(0010740)",          70,       50670,       0.175,        0.96
"Atlanta-Sandy Springs-Roswell, GA(0012060)",         270,       45160,       0.099,        0.54
"Augusta-Richmond County, GA-SC(0012260)",          40,       34220,       0.192,        1.06
"Austin-Round Rock, TX(0012420)",         130,       39940,       0.108,        0.60
"Bakersfield, CA(0012540)",          60,       48600,       0.175,        0.97
"Baltimore-Columbia-Towson, MD(0012580)",         140,       49150,       0.110,        0.61
"Birmingham-Hoover, AL(0013820)",          90,       37810,       0.173,        0.95
"Boise City, ID(0014260)",          60,       45470,       0.166,        0.92
"Boston-Cambridge-Nashua, MA-NH(0071650)",         340,       47950,       0.126,        0.70
"Bridgeport-Stamford-Norwalk, CT(0071950)",          40,       38380,       0.100,        0.55
"Buffalo-Cheektowaga-Niagara Falls, NY(0015380)",          80,       42920,       0.159,        0.88
"Cape Coral-Fort Myers, FL(0015980)",          60,       42490,       0.195,        1.07
Central Indiana nonmetropolitan area(1800002),          40,       34630,       0.273,        1.51
Central Kentucky nonmetropolitan area(2100003),          50,       26200,       0.256,        1.41
Central Missouri nonmetropolitan area(2900001),          50,       28540,       0.327,        1.80
Central New Hampshire nonmetropolitan area(3300002),          30,       41580,       0.347,        1.91
"Charleston-North Charleston, SC(0016700)",         100,       18030,       0.272,        1.50
"Charlotte-Concord-Gastonia, NC-SC(0016740)",         270,       54980,       0.216,        1.19
"Charlottesville, VA(0016820)",          30,       38410,       0.287,        1.58
"Chattanooga, TN-GA(0016860)",          50,       30330,       0.208,        1.15
"Chicago-Naperville-Elgin, IL-IN-WI(0016980)",         750,       32440,       0.170,        0.94
"Cincinnati, OH-KY-IN(0017140)",          90,       34930,       0.082,        0.45
"Cleveland-Elyria, OH(0017460)",         140,       31610,       0.146,        0.80
"Colorado Springs, CO(0017820)",          40,           -,       0.140,        0.77
"Columbia, SC(0017900)",          40,       29300,       0.106,        0.58
"Columbus, OH(0018140)",          90,       31970,       0.080,        0.44
"Dallas-Fort Worth-Arlington, TX(0019100)",         350,       39730,       0.093,        0.51
